gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.2712	-0.42136293	8.87611022	13.13847647	0.000289293	0.002164451
fig|6666666.230262.peg.1139	-0.779012327	5.92588504	13.12637398	0.000291168	0.002174722
fig|6666666.230262.peg.3048	0.419241423	8.466783831	13.1014502	0.000295067	0.002200054
fig|6666666.230262.peg.3400	0.491741253	7.098570786	13.09557956	0.000295993	0.002203167
fig|6666666.230262.peg.164	-1.325909329	4.895130063	13.05686188	0.000302175	0.002243149
fig|6666666.230262.peg.1824	0.639532979	6.197843728	13.05546629	0.000302401	0.002243149
fig|6666666.230262.peg.976	-0.454669206	7.82556303	12.97508255	0.000315664	0.00233522
fig|6666666.230262.peg.222	0.37632163	9.475804385	12.97373784	0.000315891	0.00233522
fig|6666666.230262.peg.361	0.502428273	7.174948446	12.95418293	0.000319207	0.002355719
fig|6666666.230262.peg.2989	0.819818815	5.539425364	12.91908982	0.000325248	0.002396215
fig|6666666.230262.peg.2555	0.429863354	7.290588491	12.91177671	0.000326521	0.002401511
fig|6666666.230262.peg.3519	-1.769150339	3.958049557	12.8632494	0.000335098	0.002454369
fig|6666666.230262.peg.877	0.498057393	7.260846381	12.86217045	0.000335291	0.002454369
fig|6666666.230262.peg.2728	0.365226718	10.85400661	12.86152147	0.000335408	0.002454369
fig|6666666.230262.peg.901	0.369011081	9.238223521	12.83604416	0.000340006	0.002483819
fig|6666666.230262.peg.2088	-0.466776759	7.252211865	12.83213122	0.000340717	0.002484828
fig|6666666.230262.peg.2727	0.539015396	7.058664266	12.82364843	0.000342266	0.002491924
fig|6666666.230262.peg.3457	-1.21431118	4.672151245	12.8128238	0.000344252	0.002502178
fig|6666666.230262.peg.4314	0.828199923	5.159276821	12.8040817	0.000345864	0.002509686
fig|6666666.230262.peg.3142	-0.541350483	6.751749113	12.79133251	0.000348229	0.002522622
fig|6666666.230262.peg.667	-0.802499416	5.682170734	12.73660169	0.000358569	0.002589229
fig|6666666.230262.peg.177	0.404437311	9.234814189	12.73633915	0.000358619	0.002589229
fig|6666666.230262.peg.3628	0.383241371	8.090754268	12.68683653	0.000368239	0.00265426
fig|6666666.230262.peg.4280	-1.266230145	4.582338745	12.60916613	0.00038386	0.00276226
fig|6666666.230262.peg.1534	0.51599129	7.279378635	12.48737983	0.00040971	0.002943392
fig|6666666.230262.peg.447	0.444851537	12.15824707	12.46937724	0.000413678	0.002966975
fig|6666666.230262.peg.4231	0.803149022	5.177002147	12.46248366	0.000415207	0.002973023
fig|6666666.230262.peg.3749	-0.583495063	6.529341005	12.44136914	0.000419928	0.00300186
fig|6666666.230262.peg.2609	-1.130168122	5.086986773	12.42089164	0.000424557	0.003029956
fig|6666666.230262.peg.532	0.474466366	7.123292741	12.41455933	0.000426	0.003035247
fig|6666666.230262.peg.3322	0.362800173	8.361956939	12.41039628	0.00042695	0.003037025
fig|6666666.230262.peg.1716	-0.757895212	5.845162936	12.40470824	0.000428253	0.003041296
fig|6666666.230262.peg.4327	-0.906151936	5.251886735	12.39551029	0.000430367	0.003049114
fig|6666666.230262.peg.3452	-0.455939053	12.74874413	12.39380223	0.000430761	0.003049114
fig|6666666.230262.peg.1274	0.770493465	5.37090374	12.38880628	0.000431915	0.003052295
fig|6666666.230262.peg.1045	0.497171681	9.503255573	12.38530053	0.000432727	0.003053051
fig|6666666.230262.peg.3025	-1.274154193	4.557678972	12.35864526	0.000438949	0.003091915
fig|6666666.230262.peg.2699	0.436352372	8.148343628	12.33934553	0.00044351	0.003118973
fig|6666666.230262.peg.39	0.898280197	4.640594237	12.3351446	0.00044451	0.003120933
fig|6666666.230262.peg.2849	0.730594391	5.603924004	12.32805802	0.0004462	0.003127735
fig|6666666.230262.peg.2000	-0.566768129	6.691217444	12.32164178	0.000447737	0.00313
fig|6666666.230262.peg.1470	-2.173984606	3.801028733	12.32067549	0.000447969	0.00313
fig|6666666.230262.peg.2012	-1.287355985	4.506015104	12.31311106	0.000449788	0.003137223
fig|6666666.230262.peg.2786	-0.5907059	6.676754869	12.31036142	0.000450451	0.003137223
fig|6666666.230262.peg.463	0.425949703	7.519587119	12.29232746	0.000454824	0.003162598
fig|6666666.230262.peg.4056	-0.794184498	5.873833136	12.28035853	0.00045775	0.003177844
fig|6666666.230262.peg.2596	0.585448016	6.270919306	12.2772313	0.000458518	0.003178081
fig|6666666.230262.peg.2136	0.696778101	5.845953441	12.26269736	0.000462103	0.003197812
fig|6666666.230262.peg.2665	-0.723827057	6.18918027	12.24975904	0.000465318	0.003214574
fig|6666666.230262.peg.1092	-0.680242567	6.085926242	12.24698945	0.000466009	0.003214574
fig|6666666.230262.peg.4250	-0.408491557	8.062104564	12.23894165	0.000468024	0.003223336
fig|6666666.230262.peg.284	-0.463599168	7.383689713	12.21513557	0.000474034	0.003259546
fig|6666666.230262.peg.779	0.351164777	9.185055044	12.17562756	0.00048418	0.003324038
fig|6666666.230262.peg.459	0.358028865	10.13779543	12.15107554	0.000490596	0.003362754
fig|6666666.230262.peg.2952	-0.523606419	6.903625652	12.10225798	0.000503608	0.003446493
fig|6666666.230262.peg.3120	-0.414036253	8.266281259	12.07102305	0.000512116	0.003499189
fig|6666666.230262.peg.1214	-0.691641539	6.191264593	12.00466824	0.000530675	0.003620287
fig|6666666.230262.peg.3336	0.487470561	7.641881265	11.99927645	0.000532212	0.003625067
fig|6666666.230262.peg.1723	0.376571545	7.787509966	11.96533493	0.000541995	0.003685904
fig|6666666.230262.peg.813	0.367952231	9.2354217	11.95808553	0.000544107	0.003694473
fig|6666666.230262.peg.61	0.479452237	6.712566868	11.93590743	0.000550623	0.003732862
fig|6666666.230262.peg.2245	0.523786967	6.376825343	11.90728487	0.000559148	0.003784408
fig|6666666.230262.peg.3927	-0.72212998	5.975569668	11.9045377	0.000559974	0.003784408
fig|6666666.230262.peg.3108	-0.391779398	8.194195664	11.89739158	0.000562126	0.003793038
fig|6666666.230262.peg.3646	-0.456640892	7.557723155	11.87355476	0.000569366	0.003835918
fig|6666666.230262.peg.808	-0.667816992	5.949334399	11.85594304	0.000574776	0.003866352
fig|6666666.230262.peg.1241	-0.406134085	8.561535843	11.8527033	0.000575777	0.003867079
fig|6666666.230262.peg.2380	0.679206645	5.628941855	11.84310617	0.000578752	0.003881043
fig|6666666.230262.peg.709	-1.306346906	4.65547354	11.8186648	0.000586399	0.003926245
fig|6666666.230262.peg.255	-0.52622145	6.603728576	11.76213988	0.000604477	0.00404104
fig|6666666.230262.peg.2513	-0.577805162	6.505023	11.72207905	0.000617629	0.004119973
fig|6666666.230262.peg.1006	0.389747508	7.729904502	11.71935407	0.000618534	0.004119973
fig|6666666.230262.peg.454	0.457514537	7.567331483	11.71754072	0.000619137	0.004119973
fig|6666666.230262.peg.2994	0.708465653	6.330303506	11.71262312	0.000620776	0.004124539
fig|6666666.230262.peg.1846	0.348842576	8.508975195	11.69310509	0.000627321	0.004161647
fig|6666666.230262.peg.4234	0.535007728	6.401747926	11.68109191	0.000631385	0.004182199
fig|6666666.230262.peg.999	-0.468062879	7.197737405	11.65170493	0.000641437	0.004237875
fig|6666666.230262.peg.198	0.443373027	7.299024177	11.65080803	0.000641747	0.004237875
fig|6666666.230262.peg.2018	-0.8060454	5.883380572	11.6178266	0.000653227	0.004307122
fig|6666666.230262.peg.3714	0.552966566	6.464851881	11.60558179	0.000657542	0.004328983
fig|6666666.230262.peg.3598	0.316955114	10.54496709	11.59547852	0.000661124	0.004344638
fig|6666666.230262.peg.1296	-0.78579336	5.740974763	11.59322446	0.000661925	0.004344638
fig|6666666.230262.peg.3315	0.639429697	6.498153253	11.57532851	0.000668326	0.004373706
fig|6666666.230262.peg.458	0.384648383	8.512499727	11.57519767	0.000668373	0.004373706
fig|6666666.230262.peg.1226	0.352226926	9.030968989	11.56520894	0.000671973	0.004390632
fig|6666666.230262.peg.848	-0.448324519	7.484993143	11.5571398	0.000674896	0.004398022
fig|6666666.230262.peg.2614	-0.656275227	7.001699143	11.55648146	0.000675135	0.004398022
fig|6666666.230262.peg.3696	0.695632466	5.464195206	11.5402798	0.000681044	0.004429853
fig|6666666.230262.peg.2150	0.567094494	6.503739206	11.53424288	0.000683259	0.004436087
fig|6666666.230262.peg.3283	0.623020692	5.92241975	11.53209078	0.00068405	0.004436087
fig|6666666.230262.peg.2478	-0.716821183	5.886292258	11.52056314	0.000688305	0.004449589
fig|6666666.230262.peg.3021	-0.529834848	6.956796379	11.51913483	0.000688834	0.004449589
fig|6666666.230262.peg.3171	-0.6091404	6.400706194	11.51811108	0.000689214	0.004449589
fig|6666666.230262.peg.1822	1.17474707	3.854907589	11.49011116	0.000699675	0.004510402
fig|6666666.230262.peg.4072	-0.561283678	6.684220418	11.47017574	0.00070722	0.004552269
fig|6666666.230262.peg.2247	0.37804948	11.23792374	11.46207177	0.000710311	0.00456538
fig|6666666.230262.peg.1744	0.401871922	8.554009307	11.4431037	0.000717598	0.004605386
fig|6666666.230262.peg.519	1.005839646	4.484182033	11.35484599	0.000752514	0.004815343
fig|6666666.230262.peg.309	-0.341482968	8.554609688	11.35479016	0.000752536	0.004815343
fig|6666666.230262.peg.3886	-0.876527048	5.504129362	11.34564129	0.000756253	0.004831985
fig|6666666.230262.peg.3630	-0.565009583	6.505090245	11.31935898	0.000767032	0.004893641
fig|6666666.230262.peg.1998	-0.519848696	7.04292285	11.3058986	0.000772612	0.004921996
fig|6666666.230262.peg.745	0.693745015	5.583110447	11.27042679	0.000787516	0.005009574
fig|6666666.230262.peg.3015	0.402321655	7.574653397	11.2588089	0.00079246	0.005033634
fig|6666666.230262.peg.1710	0.729589072	5.291457501	11.24957389	0.000796413	0.005051334
fig|6666666.230262.peg.3593	-0.496745112	8.208856662	11.23503454	0.000802676	0.005083615
fig|6666666.230262.peg.1642	-0.353893393	8.470731653	11.22229073	0.000808207	0.00511117
fig|6666666.230262.peg.4036	0.440167337	7.772608342	11.21655744	0.000810707	0.005119511
fig|6666666.230262.peg.1000	0.32134108	9.753428084	11.21289472	0.000812309	0.005122159
fig|6666666.230262.peg.4023	-0.847174643	5.179460896	11.20542782	0.000815584	0.005135335
fig|6666666.230262.peg.2899	-0.418879503	7.386741413	11.19739488	0.000819123	0.005150129
fig|6666666.230262.peg.1317	-1.431530401	4.378580315	11.19434632	0.000820469	0.005151121
fig|6666666.230262.peg.3127	-0.597593391	6.338732984	11.15095828	0.000839883	0.005265372
fig|6666666.230262.peg.452	0.554855664	6.966902016	11.11078091	0.000858273	0.005372891
fig|6666666.230262.peg.1983	-0.772403387	5.583470249	11.07871206	0.000873244	0.005458722
fig|6666666.230262.peg.1743	-0.467000306	6.99050842	11.07151319	0.000876641	0.00547206
fig|6666666.230262.peg.2640	-0.51321223	6.797808985	11.05102291	0.000886383	0.005521134
fig|6666666.230262.peg.3352	0.480860313	8.251030168	11.04962367	0.000887052	0.005521134
fig|6666666.230262.peg.260	1.176300929	3.944439185	11.02879436	0.000897075	0.00556072
fig|6666666.230262.peg.4139	-0.404674392	7.512455842	11.02846579	0.000897234	0.00556072
fig|6666666.230262.peg.981	-0.459546449	7.152274961	11.02840523	0.000897263	0.00556072
fig|6666666.230262.peg.2818	-1.268937691	4.53464235	11.00111914	0.000910569	0.005635121
fig|6666666.230262.peg.997	0.752950022	4.979542294	10.9715866	0.000925195	0.005717468
fig|6666666.230262.peg.2564	-0.689841141	5.957827598	10.96675252	0.000927612	0.005719754
fig|6666666.230262.peg.80	-0.597397833	6.621562331	10.96556651	0.000928206	0.005719754
fig|6666666.230262.peg.3341	0.756888287	5.366924878	10.96205927	0.000929964	0.00572245
fig|6666666.230262.peg.3373	-0.679438824	6.213231256	10.94658686	0.000937762	0.005762248
fig|6666666.230262.peg.2919	-0.445674746	7.273061224	10.92814784	0.000947141	0.005811638
fig|6666666.230262.peg.2240	0.380801307	8.281599428	10.91608961	0.000953326	0.005841315
fig|6666666.230262.peg.662	0.343839935	8.534468525	10.89823708	0.000962558	0.005879456
fig|6666666.230262.peg.3988	-0.491438718	7.125769113	10.89644043	0.000963492	0.005879456
fig|6666666.230262.peg.830	-0.38006375	8.154599016	10.89618989	0.000963623	0.005879456
fig|6666666.230262.peg.516	0.536180357	7.210165465	10.89237156	0.000965611	0.005883302
fig|6666666.230262.peg.703	-0.533945289	8.684161245	10.87176209	0.000976416	0.005940777
fig|6666666.230262.peg.3215	-0.305297035	9.42607049	10.86319123	0.000980945	0.005959964
fig|6666666.230262.peg.1115	0.537962616	6.433777347	10.85515263	0.000985212	0.005977507
fig|6666666.230262.peg.661	0.597617123	6.035657551	10.84562884	0.000990292	0.005999926
fig|6666666.230262.peg.509	-0.55339086	6.751225375	10.80206914	0.001013867	0.006127369
fig|6666666.230262.peg.2972	0.412864345	8.255695374	10.80154174	0.001014156	0.006127369
fig|6666666.230262.peg.423	0.364082263	8.210113174	10.74682127	0.001044586	0.006302432
fig|6666666.230262.peg.2947	-0.535066985	6.597120513	10.69891876	0.001071982	0.006458727
fig|6666666.230262.peg.2715	0.411712863	7.012860348	10.686878	0.001078981	0.006491872
fig|6666666.230262.peg.2	-0.560601665	6.330877582	10.65761287	0.001096188	0.006579158
fig|6666666.230262.peg.1635	-0.593308957	7.308665926	10.65704163	0.001096526	0.006579158
fig|6666666.230262.peg.23	0.532580645	6.248849012	10.65134775	0.001099907	0.006584471
fig|6666666.230262.peg.2511	-0.751466441	5.771935323	10.6504323	0.001100452	0.006584471
fig|6666666.230262.peg.876	0.50393023	6.320330312	10.64304058	0.001104859	0.006601722
fig|6666666.230262.peg.10	-0.563138672	6.452079656	10.63104899	0.001112046	0.006635515
fig|6666666.230262.peg.3907	-0.754491499	5.509926109	10.62456131	0.001115954	0.006649676
fig|6666666.230262.peg.2576	0.363694752	7.825733835	10.61610217	0.001121071	0.006670989
fig|6666666.230262.peg.3121	-0.396062929	8.479913359	10.59266899	0.00113537	0.006746805
fig|6666666.230262.peg.215	-0.449378158	6.981015503	10.56824907	0.001150466	0.006827152
fig|6666666.230262.peg.1795	-0.492545959	6.997735617	10.54384378	0.001165757	0.006908427
fig|6666666.230262.peg.3321	0.367675975	10.65885183	10.53568077	0.001170917	0.006929528
fig|6666666.230262.peg.2163	0.480521001	6.563796158	10.53243214	0.001172977	0.006930627
fig|6666666.230262.peg.3560	0.877489245	4.742393334	10.5303449	0.001174303	0.006930627
fig|6666666.230262.peg.231	-0.405819022	8.047710928	10.50389701	0.00119123	0.007020966
fig|6666666.230262.peg.1641	-0.309143743	10.62287613	10.44039596	0.001232888	0.00725662
fig|6666666.230262.peg.4083	-0.573901101	6.613620611	10.38704933	0.001269023	0.007459167
fig|6666666.230262.peg.1842	0.595158977	5.825168258	10.38158978	0.001272781	0.007463452
fig|6666666.230262.peg.1564	1.18388696	3.632525661	10.38098517	0.001273197	0.007463452
fig|6666666.230262.peg.1114	0.533023178	6.036986987	10.37029569	0.00128059	0.007496645
fig|6666666.230262.peg.3812	0.582667888	5.703693846	10.33424169	0.001305848	0.007634186
fig|6666666.230262.peg.3013	-0.761320255	5.674536652	10.28462333	0.001341434	0.007831661
fig|6666666.230262.peg.3165	-0.304564941	8.938836871	10.27497573	0.001348466	0.007862122
fig|6666666.230262.peg.4210	1.224413523	4.615813853	10.2624322	0.001357666	0.007905118
fig|6666666.230262.peg.2116	0.428280148	7.149749128	10.23894104	0.001375065	0.007987194
fig|6666666.230262.peg.1588	-0.521798318	7.036273637	10.23842548	0.001375449	0.007987194
fig|6666666.230262.peg.4313	-0.395946142	7.865529279	10.23419799	0.001378605	0.007994804
fig|6666666.230262.peg.1978	-0.529390487	6.804850827	10.20424535	0.001401177	0.008114839
fig|6666666.230262.peg.4067	0.467470332	6.681062361	10.1733044	0.001424887	0.008237891
fig|6666666.230262.peg.4243	0.528474415	6.71650708	10.17157009	0.001426228	0.008237891
fig|6666666.230262.peg.1890	-0.380664293	7.914794592	10.15957877	0.001435534	0.008280605
fig|6666666.230262.peg.1789	0.49491284	7.303706185	10.14312364	0.001448405	0.008343738
fig|6666666.230262.peg.4377	0.372241969	7.39072261	10.13853891	0.001452012	0.008353408
fig|6666666.230262.peg.2272	-0.376050539	7.586722211	10.13113623	0.001457855	0.0083759
fig|6666666.230262.peg.4073	-0.59485166	6.340324912	10.12292672	0.001464363	0.008402146
fig|6666666.230262.peg.2518	-0.521246607	6.473825103	10.10608256	0.001477808	0.008459122
fig|6666666.230262.peg.7	-0.516245035	6.891450306	10.10559536	0.001478198	0.008459122
fig|6666666.230262.peg.4218	0.52819451	6.39703044	10.0973869	0.001484797	0.008485675
fig|6666666.230262.peg.1645	0.289105872	9.636021623	10.08134621	0.001497779	0.008548586
fig|6666666.230262.peg.4295	0.323018235	8.655535513	10.07132533	0.001505947	0.008583896
fig|6666666.230262.peg.3906	-0.33231657	8.778640617	10.06847859	0.001508275	0.008585872
fig|6666666.230262.peg.3731	0.306246656	9.86418243	10.05990809	0.001515308	0.008614585
fig|6666666.230262.peg.56	-0.559671823	6.69748419	10.04025169	0.001531563	0.008695583
fig|6666666.230262.peg.2450	-0.439948697	7.231897328	10.03686922	0.001534378	0.008700162
fig|6666666.230262.peg.2147	-0.556574307	6.585345343	10.02677575	0.001542809	0.008736532
fig|6666666.230262.peg.4283	0.450700898	6.440467439	9.98946005	0.001574388	0.008890395
fig|6666666.230262.peg.605	0.353458929	8.29934733	9.989328306	0.0015745	0.008890395
fig|6666666.230262.peg.329	-0.640108622	5.876183845	9.987415758	0.001576136	0.008890395
fig|6666666.230262.peg.2059	0.354757371	8.777605031	9.984893648	0.001578297	0.008891003
fig|6666666.230262.peg.500	-0.47142131	6.860879541	9.973800285	0.001587834	0.008933114
fig|6666666.230262.peg.319	0.319175814	8.796182565	9.967510743	0.001593268	0.008952056
fig|6666666.230262.peg.190	-1.212158444	4.083362176	9.964797751	0.001595617	0.008953644
fig|6666666.230262.peg.1267	-0.693094286	5.549184554	9.962205306	0.001597865	0.008954661
fig|6666666.230262.peg.2033	-0.939700528	5.177147773	9.942959904	0.001614657	0.009037073
fig|6666666.230262.peg.1853	-0.563673582	6.494824834	9.924671867	0.001630779	0.00911553
fig|6666666.230262.peg.4368	-0.615635889	5.899974187	9.915879515	0.001638588	0.009147376
fig|6666666.230262.peg.3803	-0.327389789	8.346385642	9.889477458	0.001662266	0.009267612
fig|6666666.230262.peg.996	-0.266216479	9.847488945	9.881552615	0.00166944	0.009292441
fig|6666666.230262.peg.394	-0.339837639	10.52636246	9.879824172	0.001671009	0.009292441
fig|6666666.230262.peg.914	0.483319097	6.26288631	9.864284291	0.001685182	0.009359243
fig|6666666.230262.peg.1353	0.755733362	4.988965791	9.845129695	0.00170282	0.00944509
fig|6666666.230262.peg.1388	-0.416147066	7.388931114	9.833236794	0.001713865	0.009481727
fig|6666666.230262.peg.159	-0.732072234	5.526838747	9.832098761	0.001714926	0.009481727
fig|6666666.230262.peg.1007	0.322443827	8.517881915	9.830956256	0.001715991	0.009481727
fig|6666666.230262.peg.3551	-0.403511758	7.477366081	9.825441702	0.001721144	0.009498082
fig|6666666.230262.peg.3342	0.570698039	5.944586355	9.80291696	0.001742353	0.009602891
fig|6666666.230262.peg.943	-0.413599132	7.318140014	9.787224619	0.001757285	0.009672882
fig|6666666.230262.peg.2405	-0.834472035	5.904998865	9.784650089	0.001759747	0.009674143
fig|6666666.230262.peg.764	-1.108590276	4.453351011	9.768882616	0.001774903	0.009745094
fig|6666666.230262.peg.1206	-0.684320705	6.076158914	9.766050244	0.001777639	0.009747764
fig|6666666.230262.peg.1243	-0.685791215	5.73037306	9.713905221	0.00182879	0.010015572
fig|6666666.230262.peg.3480	-0.950494139	4.982534689	9.692825688	0.001849888	0.010118329
fig|6666666.230262.peg.572	-0.794327551	5.67377055	9.651521014	0.001891949	0.010335336
fig|6666666.230262.peg.3691	-0.82544652	5.426760357	9.645056811	0.001898618	0.010358708
fig|6666666.230262.peg.4352	-0.392194996	7.912499911	9.640325271	0.001903515	0.010372362
fig|6666666.230262.peg.1066	0.290213774	10.93394503	9.604999842	0.001940483	0.010560518
fig|6666666.230262.peg.1677	-0.503289151	6.76879861	9.576566178	0.001970767	0.010711871
fig|6666666.230262.peg.1722	-0.493972628	6.577960643	9.568870735	0.001979045	0.010721839
fig|6666666.230262.peg.3141	-1.465194685	4.054694052	9.568212056	0.001979755	0.010721839
fig|6666666.230262.peg.1780	0.624965728	5.66777278	9.566533122	0.001981566	0.010721839
fig|6666666.230262.peg.77	-0.994475198	4.968585064	9.565667764	0.001982501	0.010721839
fig|6666666.230262.peg.2172	-0.354289334	8.225455608	9.547527663	0.002002189	0.010814817
fig|6666666.230262.peg.3259	-0.367592497	7.761995307	9.52828405	0.002023292	0.010915195
fig|6666666.230262.peg.2920	-0.503069671	6.454457818	9.52276322	0.002029388	0.010934463
fig|6666666.230262.peg.3256	0.342320121	8.090298212	9.519354203	0.002033161	0.010941185
fig|6666666.230262.peg.1167	0.335143838	9.360908064	9.511663891	0.002041699	0.010973501
fig|6666666.230262.peg.1874	0.351174039	9.590755702	9.492080611	0.002063607	0.011077502
fig|6666666.230262.peg.3125	-0.665507057	6.006496361	9.485425128	0.002071106	0.011104
fig|6666666.230262.peg.1250	0.401274516	7.72204761	9.470661257	0.002087841	0.011179885
fig|6666666.230262.peg.2512	-0.96947886	4.810929929	9.448562269	0.002113147	0.011301422
fig|6666666.230262.peg.3151	-0.299842728	9.211704641	9.437813194	0.002125568	0.011353835
fig|6666666.230262.peg.2029	-0.364392609	7.961891864	9.430945978	0.002133542	0.011382394
fig|6666666.230262.peg.2619	-1.070777822	4.5743401	9.425448641	0.002139947	0.011402524
fig|6666666.230262.peg.930	-0.345524506	7.987104512	9.413463084	0.00215398	0.011463197
fig|6666666.230262.peg.3892	0.33343527	8.27955601	9.397676441	0.002172606	0.011548134
fig|6666666.230262.peg.2398	0.402140254	6.980350891	9.369844491	0.002205842	0.011710428
fig|6666666.230262.peg.2705	1.092139091	3.909199207	9.361866988	0.002215464	0.01174711
fig|6666666.230262.peg.3590	-0.512874079	7.887929853	9.349720541	0.002230195	0.011810762
fig|6666666.230262.peg.2928	0.265597723	9.250078629	9.347009228	0.002233497	0.011813806
fig|6666666.230262.peg.979	-0.359658671	8.306118865	9.34247182	0.002239033	0.011828649
fig|6666666.230262.peg.1940	-0.349519031	7.920649843	9.327413111	0.002257508	0.011911725
fig|6666666.230262.peg.2809	0.681847642	5.659385215	9.236887192	0.002371878	0.012499971
fig|6666666.230262.peg.1060	-0.38141444	7.37609462	9.234494587	0.002374979	0.012501107
fig|6666666.230262.peg.3594	-0.299351732	9.321077039	9.212041872	0.002404284	0.012639997
fig|6666666.230262.peg.1398	-0.453341824	6.775034671	9.192867985	0.002429599	0.012757604
fig|6666666.230262.peg.3129	-0.508393952	6.478847072	9.154831435	0.002480622	0.013009753
fig|6666666.230262.peg.1315	0.389682613	8.525813421	9.14721537	0.002490969	0.013048218
fig|6666666.230262.peg.3597	-0.309472538	9.275253971	9.130930625	0.002513238	0.013148972
fig|6666666.230262.peg.468	-0.646961596	6.041189115	9.121615151	0.002526068	0.013200155
fig|6666666.230262.peg.2828	0.317745752	8.515739207	9.109863716	0.002542348	0.013269219
fig|6666666.230262.peg.1476	-2.020620473	3.47256919	9.090592336	0.002569276	0.013393629
fig|6666666.230262.peg.963	-0.397633184	7.361352735	9.085081405	0.00257703	0.013408907
fig|6666666.230262.peg.907	-0.515870435	6.367025541	9.08411102	0.002578398	0.013408907
fig|6666666.230262.peg.411	0.709740382	5.004749672	9.081060092	0.002582703	0.013415191
fig|6666666.230262.peg.1854	0.530836465	5.953347673	9.072310142	0.00259509	0.01346339
fig|6666666.230262.peg.972	-1.101360275	4.308353991	9.0631611	0.002608107	0.013491702
fig|6666666.230262.peg.3918	-0.724440414	5.349897353	9.062521589	0.002609019	0.013491702
fig|6666666.230262.peg.3233	0.474489106	6.17147418	9.061911016	0.002609891	0.013491702
fig|6666666.230262.peg.2655	0.395044192	8.913949355	9.038551414	0.00264345	0.013648899
fig|6666666.230262.peg.227	-0.924784354	4.692437524	9.02378412	0.002664891	0.013737526
fig|6666666.230262.peg.1733	0.780452273	4.76583149	9.021284018	0.002668539	0.013737526
fig|6666666.230262.peg.2691	0.953338372	4.548254442	9.018502821	0.002672602	0.013737526
fig|6666666.230262.peg.3504	0.455990102	6.239307626	9.018025823	0.0026733	0.013737526
fig|6666666.230262.peg.2130	-0.421391043	7.369951748	9.004370103	0.002693348	0.013824151
fig|6666666.230262.peg.679	-1.310057956	4.267508862	8.994049846	0.002708601	0.013885986
fig|6666666.230262.peg.677	-0.564077345	6.101043723	8.969173431	0.002745728	0.014059684
fig|6666666.230262.peg.1079	0.598295426	5.591923792	8.937547231	0.002793676	0.014288317
fig|6666666.230262.peg.794	-1.386150611	3.879666929	8.934934576	0.002797675	0.014291896
fig|6666666.230262.peg.2070	0.286548636	10.16180015	8.902663198	0.00284755	0.014529551
fig|6666666.230262.peg.863	0.441767901	6.503911738	8.895548429	0.002858667	0.014552722
fig|6666666.230262.peg.1357	0.408677504	7.019246115	8.895457007	0.00285881	0.014552722
fig|6666666.230262.peg.2491	-0.316456205	8.224161353	8.863710626	0.002908956	0.01479061
fig|6666666.230262.peg.9	-0.390139297	7.533527201	8.854105401	0.002924304	0.014851214
fig|6666666.230262.peg.3596	-0.312865593	8.969549546	8.844024188	0.002940501	0.014915983
fig|6666666.230262.peg.1138	-0.592774172	6.326963561	8.840179942	0.002946701	0.014929951
fig|6666666.230262.peg.3550	-0.865054601	5.361158214	8.793543612	0.003022985	0.015298563
fig|6666666.230262.peg.1222	-0.438621076	6.872228571	8.791293257	0.003026716	0.015299573
fig|6666666.230262.peg.327	-0.475631918	6.548208689	8.785048177	0.003037095	0.015334146
fig|6666666.230262.peg.857	-0.441212514	7.464248922	8.778560672	0.003047916	0.015370864
fig|6666666.230262.peg.1237	0.3825208	8.328556144	8.772508006	0.003058047	0.015404021
fig|6666666.230262.peg.2367	-0.368136691	7.922825973	8.745446969	0.00310376	0.015616131
fig|6666666.230262.peg.1421	0.495115819	6.23774379	8.739604801	0.00311372	0.015648068
fig|6666666.230262.peg.4242	-0.377712092	8.168834474	8.723777374	0.003140866	0.015766202
fig|6666666.230262.peg.3583	0.311210434	11.32633436	8.718817599	0.003149422	0.015784666
fig|6666666.230262.peg.2305	-0.488442608	6.590005461	8.717423271	0.003151832	0.015784666
fig|6666666.230262.peg.3855	0.412739241	6.63640798	8.68399928	0.003210158	0.016058203
fig|6666666.230262.peg.3847	0.596842299	5.928033967	8.66575287	0.00324246	0.016201081
fig|6666666.230262.peg.565	-0.670801931	5.704039591	8.635103453	0.003297465	0.016456934
fig|6666666.230262.peg.2701	0.911848607	4.947684243	8.621587202	0.003322023	0.016560416
fig|6666666.230262.peg.2641	-0.331460357	8.027080489	8.612028474	0.003339502	0.016628415
fig|6666666.230262.peg.2047	-0.523928596	6.27638107	8.581719822	0.003395545	0.016888061
fig|6666666.230262.peg.3566	0.29275405	8.50564718	8.576702235	0.003404915	0.016915242
fig|6666666.230262.peg.4247	-0.292244661	8.821660242	8.55417652	0.003447304	0.017094998
fig|6666666.230262.peg.3577	0.342387975	10.36005285	8.553286049	0.003448991	0.017094998
fig|6666666.230262.peg.644	0.355795753	7.766386743	8.541429766	0.003471528	0.017186776
fig|6666666.230262.peg.2049	-0.525833698	6.414299521	8.538312471	0.003477479	0.017186776
fig|6666666.230262.peg.1690	0.336256469	7.491697328	8.537302154	0.00347941	0.017186776
fig|6666666.230262.peg.1974	-0.736794077	5.271278336	8.52085597	0.003510993	0.017306737
fig|6666666.230262.peg.2234	0.413342315	6.983035209	8.52049706	0.003511686	0.017306737
fig|6666666.230262.peg.2713	-0.478538563	6.760006217	8.505157073	0.003541413	0.017433412
