gene	logFC	logCPM	LR	PValue	FDR
fig|6666666.230262.peg.2114	1.045828774	13.91916472	72.93505963	1.34E-17	8.54E-16
fig|6666666.230262.peg.866	0.854405936	9.688579474	72.65836123	1.54E-17	9.68E-16
fig|6666666.230262.peg.296	1.450379595	5.749397341	72.58606842	1.60E-17	9.90E-16
fig|6666666.230262.peg.1087	1.077548695	7.453110834	72.30368901	1.85E-17	1.13E-15
fig|6666666.230262.peg.1667	1.036241057	11.6743792	71.75749578	2.43E-17	1.46E-15
fig|6666666.230262.peg.4209	1.347734518	6.568275584	71.72640336	2.47E-17	1.46E-15
fig|6666666.230262.peg.1154	-1.317602145	7.661056089	71.70667764	2.50E-17	1.46E-15
fig|6666666.230262.peg.4159	0.812755916	8.826590221	71.30275811	3.06E-17	1.77E-15
fig|6666666.230262.peg.2710	-0.943769565	9.14992402	71.15611332	3.30E-17	1.88E-15
fig|6666666.230262.peg.980	0.780976637	10.3394016	70.61889288	4.33E-17	2.44E-15
fig|6666666.230262.peg.1414	1.497336448	5.927208808	69.97355411	6.01E-17	3.34E-15
fig|6666666.230262.peg.2076	0.921793552	9.61201173	69.51622512	7.58E-17	4.16E-15
fig|6666666.230262.peg.2851	1.275788784	6.468374824	69.08325512	9.44E-17	5.11E-15
fig|6666666.230262.peg.1234	1.047051012	7.040339122	68.44566733	1.30E-16	6.98E-15
fig|6666666.230262.peg.595	1.06951363	6.821721188	68.05275019	1.59E-16	8.41E-15
fig|6666666.230262.peg.3999	0.897639939	7.996060083	67.73067979	1.87E-16	9.78E-15
fig|6666666.230262.peg.3418	1.773109725	5.102608663	67.51257401	2.09E-16	1.08E-14
fig|6666666.230262.peg.4107	0.812870276	8.61521454	67.45582534	2.15E-16	1.10E-14
fig|6666666.230262.peg.1915	-1.634057441	6.872885424	66.81341324	2.98E-16	1.50E-14
fig|6666666.230262.peg.2181	-1.181990979	7.469168681	66.54845548	3.41E-16	1.70E-14
fig|6666666.230262.peg.132	0.980864312	7.801171821	66.33989313	3.79E-16	1.87E-14
fig|6666666.230262.peg.1863	0.869136918	9.252051741	64.45141387	9.89E-16	4.82E-14
fig|6666666.230262.peg.2364	0.987713369	7.099214947	63.64743159	1.49E-15	7.16E-14
fig|6666666.230262.peg.1202	0.866560176	7.620863715	63.6265658	1.50E-15	7.16E-14
fig|6666666.230262.peg.3191	1.346717564	6.062592069	63.32824744	1.75E-15	8.24E-14
fig|6666666.230262.peg.3166	-1.286386291	6.59862325	62.60812841	2.52E-15	1.17E-13
fig|6666666.230262.peg.3695	0.914587716	9.728410184	62.53633217	2.62E-15	1.21E-13
fig|6666666.230262.peg.444	0.862818556	12.6181478	62.50870585	2.65E-15	1.21E-13
fig|6666666.230262.peg.3100	0.916905232	7.316248408	62.12720106	3.22E-15	1.45E-13
fig|6666666.230262.peg.1304	1.051616107	11.4997727	61.07625649	5.49E-15	2.45E-13
fig|6666666.230262.peg.2890	0.762932081	10.89347075	59.21077749	1.42E-14	6.23E-13
fig|6666666.230262.peg.2085	0.809952949	7.728486328	59.20086796	1.42E-14	6.23E-13
fig|6666666.230262.peg.858	-0.8441228	8.534864004	58.75506155	1.79E-14	7.74E-13
fig|6666666.230262.peg.4150	0.763156633	9.028691505	58.15400362	2.42E-14	1.04E-12
fig|6666666.230262.peg.382	-1.085666219	7.806541727	57.13798015	4.06E-14	1.73E-12
fig|6666666.230262.peg.762	0.704018883	8.853820622	56.62449475	5.28E-14	2.22E-12
fig|6666666.230262.peg.3144	-1.018751504	7.700705562	55.93491379	7.49E-14	3.12E-12
fig|6666666.230262.peg.1909	0.81378295	10.56451668	55.76799867	8.15E-14	3.36E-12
fig|6666666.230262.peg.3890	1.096817736	6.548467513	54.55114061	1.51E-13	6.19E-12
fig|6666666.230262.peg.3523	0.875692916	7.102618225	54.50980243	1.55E-13	6.26E-12
fig|6666666.230262.peg.3627	1.105646989	6.530508431	54.21365753	1.80E-13	7.21E-12
fig|6666666.230262.peg.3426	0.749841268	8.655197162	53.53635271	2.54E-13	1.01E-11
fig|6666666.230262.peg.1121	1.09208696	9.001586718	53.41414777	2.70E-13	1.06E-11
fig|6666666.230262.peg.1660	1.260808378	5.658374081	53.29603255	2.87E-13	1.12E-11
fig|6666666.230262.peg.4163	1.51563	5.196247129	52.84754939	3.60E-13	1.38E-11
fig|6666666.230262.peg.4311	-1.379726745	6.964778991	52.8463254	3.61E-13	1.38E-11
fig|6666666.230262.peg.3704	0.709763817	9.039875985	52.64520773	4.00E-13	1.52E-11
